ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK,"41,39,30,28,26,24,22,20,18,16,15,14,13,11,7,5,2,1"
8169514,SAY005,,SAMYANG BULDAK BOKKUMYUN M 700G,1,CASE,$117.40,16,NO,W41,
10366471,GLI009,,GLICO POCKY CHOCO BANANA 70G,2,CASE,$22.50,10,NO,W41,
20630331,GLI001,,GLICO POCKY STRAWBERRY BAG 156G,2,CASE,$21.50,5,NO,W41,
15757620,GLI017,,GLICO POCKY COOKIES & CREAM 70G,2,CASE,$22.50,10,NO,W41,
8170520,YNY058,,Y Y BRAND SEA GREENS SEAWEED SPICY 15G,1,CASE,$44.00,24,NO,W41,
8170519,YNY059,,Y Y BRAND SEA GREENS SEAWEED BBQ 15G,1,CASE,$44.00,24,NO,W41,
19036588,YNY073,,YY SUSHI NORI 28G,1,CASE,$22.33,10,NO,W41,
15757675,LZU003,,WATSON LONG THIN NOODLE 440G,1,CASE,$51.30,18,NO,W41,
18737379,CHY002,,CHEWY JAPANESE UDON NOODLES 800G,1,CASE,$37.29,9,NO,W41,
15016482,INM007,,INDOMIE MI BBQ CHICKEN FRIED NOODLE 425G,1,CASE,$22.00,6,NO,W41,
20682740,PAL001,,PALDO JJAJANGMEN NOODLE MULTIS 812G,1,CASE,$70.00,8,NO,W41,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,3,CASE,$65.00,8,NO,W41,
18256061,LZU001,,WATSON LANZHOU NOODLE 440G,1,CASE,$50.00,18,NO,W41,
9379954,YNY020,,Y & Y 3 MINUTE CHOWMEIN 454G,1,CASE,$24.00,12,NO,W41,
23584101,LKK076,,LKK CHINESE MARINADE 410ML,1,CASE,$48.00,12,NO,W41,
10472728,LKK088,,LKK HOISIN SAUCE 443ML,1,CASE,$47.00,12,NO,W41,
14811898,LKK090,,LKK PURE SESAME OIL 445ML,1,CASE,$96.00,12,NO,W41,
8180481,MAP006,,MAEPLOY RED CURRY PASTE 400G,1,CASE,$75.00,24,NO,W41,
10368195,MSR005,,MAESRI GREEN CURRY PASTE 114G,1,CASE,$58.00,48,NO,W41,
8370478,PRB005,,PRB LIGHT SOY SAUCE 500ML,1,CASE,$31.00,12,NO,W41,
23805224,PRB006,,PRB MUSHROOM SOY SAUCE 500ML,1,CASE,$39.00,12,NO,W41,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W41,
8170502,SNB001,,S B WASABI IN TUBE 43G,1,CASE,$24.00,10,NO,W41,
18966469,GLI002,,GLICO POCKY CHOCOLATE BAG 156G,2,CASE,$21.50,10,NO,W41,
21991002,OTT003,,OTTOGI JIN CUP MILD 65G,2,CASE,$13.00,6,NO,W39,
21991041,OTT004,,OTTOGI JIN CUP SPICY 65G,2,CASE,$13.00,6,NO,W39,
22007112,PAL014,,PALDO BIBIM MEN 520G,2,CASE,$28.00,6,NO,W39,
20682740,PAL003,,PALDO JJAJANGMEN NOODLE MULTIS 812G,2,CASE,$29.00,4,NO,W39,
18285321,PAL007,,PALDO VOLCANO CHK NDL 140GX4,2,CASE,$25.00,4,NO,W39,
19781715,SAY017,,SAMYANG CHEESE BOWL 105G,2,CASE,$43.00,16,NO,W39,
8169514,SAY005,,SAMYANG BULDAK BOKKUMYUN M 700G,2,CASE,$58.70,8,NO,W39,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,2,CASE,$65.00,8,NO,W39,
8180820,SAY016,,SAMYANG BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$61.50,8,NO,W39,
9378047,YNY039,,Y&Y BROWN RICE VERMICELLI 400G,1,CASE,$50.00,20,NO,W39,
12835559,HMK001,,HANAMARUKI SOYBEAN PASTE WHITE 500G,2,CASE,$28.00,6,NO,W39,
17189952,HMK002,,HANAMARUKI SOYBEAN PASTE RED 500G,2,CASE,$28.00,6,NO,W39,
8181044,OTH015,,KEWPIE MAYONNAISE 517ML,1,CASE,$157.00,20,NO,W39,
14811915,KDY001,,KADOYA ROASTED SEASAME OIL 163ML,1,CASE,$120.00,24,NO,W39,
8170545,LKK094,,LKK CHAR SIU SAUCE 320ML,1,CASE,$60.00,12,NO,W39,
22351784,LKK120,,LKK CHICKEN MARINADE 410ML,1,CASE,$48.00,12,NO,W39,
22676205,LKK020,,LKK CHILI BEAN SAUCE 368G,1,CASE,$57.00,12,NO,W39,
8170547,LKK132,,LKK CHILI OIL 207ML,1,CASE,$36.00,12,NO,W39,
22008568,LKK049,,LKK KOREAN BBQ SAUCE 370G,1,CASE,$45.00,12,NO,W39,
22007961,LKK098,,LKK OYSTER SAUCE KUM CHUN 480G,1,CASE,$30.00,12,NO,W39,
19782066,LKK001,,LKK PANDA OYSTER SAUCE 510G,1,CASE,$48.00,12,NO,W39,
22677193,LKK074,,LKK PREMIUM DARK SOY SAUCE 500ML,1,CASE,$36.00,12,NO,W39,
18864471,LKK111,,LKK PREMIUM OYSTER SAUCE 510G,1,CASE,$96.00,12,NO,W39,
14811898,LKK090,,LKK PURE SESAME OIL 445ML,2,CASE,$96.00,24,NO,W39,
8872125,LKK065,,LKK CHILI GARLIC SAUCE 226G,1,CASE,$39.00,12,NO,W39,
21996852,LKK068,,LKK TERIYAKI SAUCE 207ML,1,CASE,$27.00,12,NO,W39,
8170517,YNY056,,Y Y BRAND SEA GREENS SEAWEED CLASSIC 15G,1,CASE,$44.00,24,YES,W39,
8170518,YNY057,,Y Y BRAND SEA GREENS SEAWEED GARLIC 15G,1,CASE,$44.00,24,YES,W39,
8170519,YNY059,,Y Y BRAND SEA GREENS SEAWEED BBQ 15G,1,CASE,$44.00,24,YES,W39,
8170520,YNY058,,Y Y BRAND SEA GREENS SEAWEED SPICY 15G,1,CASE,$44.00,24,YES,W39,
8170521,YNY043,,Y Y SHITAKE MASHROOMS 284 ML,1,CASE,$28.01,24,NO,W39,
18502273,VTS009,,VITASOY COCONUT 6PACK,,CASE,$42.00,8,NO,W30,
12222935,VTS002,,VITASOY ORIGINAL 6PACK,,CASE,$44.00,8,NO,W30,
20845030,VTS021,,VITA SUGAR CANE JUICE DRINK 6PK,2,CASE,$42.00,8,NO,W30,
8180777,BRA006,,BRANDS BIRDS NEST SOUP 408ML,1,CASE,$448.00,8,YES,W30,
12532274,ASI005,,ASSI KATSUO UDON NOODLE BOWL 235G,2,CASE,$25.00,6,NO,W30,
8170314,INM004,,INDOMIE PEDAS HOT STIRFRY NDLS 5PACK 80G,2,CASE,$21.60,6,NO,W30,
15016482,INM007,,INDOMIE MI BBQ CHICKEN FRIED NOODLE 425G,2,CASE,$19.20,6,NO,W30,
8170313,INM001,,INDOMIE MI GORENG FRIED NOODLES 85G,2,CASE,$19.20,6,NO,W30,
20641441,MMA008,,MAMA PORK MULTIPACK 5X300G,,CASE,$22.00,6,NO,W30,
20702590,NOS004,,NONG SHIM BIG BOWL SHIN 114G,2,CASE,$29.00,12,NO,W30,
8169510,NOS035,,NONGSHIM SHIN RAMEN BLACK MULTI 520G,2,CASE,$40.00,4,NO,W30,
8169511,NOS034,,NONGSHIM SHIN RAMEN M 480G,2,CASE,$24.00,4,NO,W30,
14902444,PAL002,,PALDO HWA RAMYUN HOT AND SPICY 600G,2,CASE,$30.00,4,NO,W30,
20682740,PAL001,,PALDO JJAJANGMEN NOODLE MULTIS 812G,,CASE,$70.00,8,NO,W30,
19781715,SAY017,,SAMYANG CHEESE BOWL 105G,2,CASE,$43.00,16,NO,W30,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,2,CASE,$65.20,8,NO,W30,
#N/A,SAY016,,BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$61.50,8,NO,W30,
18256061,LZU001,,WATSON LANZHOU NOODLE 440G,1,CASE,$50.00,18,NO,W30,
8170526,ABC001,,ABC SWEET SOY SAUCE 620ML,1,CASE,$85.68,12,NO,W30,
8173357,MAP002,,MAEPLOY RED CURRY PASTE 1KG,1,CASE,$92.00,12,NO,W30,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W30,
20630331,GLI001,,GLICO POCKY STRAWBERRY BAG 156G,1,CASE,$21.00,5,NO,W30,
8170517,YNY056,,Y Y BRAND SEA GREENS SEAWEED CLASSIC 15G,1,CASE,$44.00,24,YES,W28,
8170546,LKK072,,LKK CHILI BLACK BEAN SAUCE 230G,1,CASE,$54.00,12,NO,W28,
14722650,LKK103,,LKK MUSHROOM DARK SOY SAUCE 500ML,1,CASE,$36.00,12,NO,W28,
8170518,YNY057,,Y Y BRAND SEA GREENS SEAWEED GARLIC 15G,1,CASE,$44.00,24,YES,W28,
8170520,YNY058,,Y Y BRAND SEA GREENS SEAWEED SPICY 15G,1,CASE,$44.00,24,YES,W28,
18864483,LKK185,,LKK DUMPLING SAUCE 207ML,1,CASE,$69.00,12,NO,W28,
8170548,LKK005,,LKK LG BLACK BEAN GARLIC 368G,1,CASE,$60.00,12,NO,W28,
18768077,ORY002,,OH RICEY PHO BEEF BOWL 65G,1,CASE,$17.00,12,NO,W28,
18768073,ORY006,,OH RICEY PHO CHICKEN BOWL 65G,1,CASE,$17.00,12,NO,W28,
8170497,OTH014,,ORION CUSTARD 276G,1,CASE,$56.50,8,NO,W28,
8170493,NOS022,,NONG SHIM SHRIMP CRACKERS 75G,1,CASE,$29.50,20,NO,W28,
14737177,LKK027,,LKK SESAME SOYBEAN MIXED OIL 207ML,1,CASE,$45.00,12,NO,W28,
15733684,HAK003,,HAKUBAKU ORGANIC UDON 269g,1,CASE,$24.00,8,NO,W28,
10472728,LKK088,,LKK HOISIN SAUCE 443ML,1,CASE,$42.00,12,NO,W28,
15733673,HAK001,,HAKUBAKU ORGANIC SOMEN 269g,1,CASE,$24.00,8,NO,W28,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,2,CASE,$65.20,8,NO,W28,
16980174,LKM017,,LUCKY ME PANCIT CANTON SWEET &SPICY 360G,1,CASE,$43.20,12,NO,W26,
18127362,LKM015,,LUCKY ME PANCIT CANTON KALAMANSI 360G,1,CASE,$43.20,12,NO,W26,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,1,CASE,$65.20,8,NO,W26,
17189952,HMK002,,HANAMARUKI SOYBEAN PASTE RED 500G,1,CASE,$27.00,6,NO,W26,
12835559,HMK001,,HANAMARUKI SOYBEAN PASTE WHITE 500G,1,CASE,$27.00,6,NO,W26,
14722670,LKK087,,LKK 36OZ HOISIN SAUCE 797ML,1,CASE,$72.00,12,NO,W26,
8173338,SQU001,,SQUID BRAND FISH SAUCE 725ML,2,CASE,$52.00,24,NO,W26,
8169625,LOT012,,LOTTE CHOCO PIE 12PK 336G,1,CASE,$36.00,8,NO,W26,
8170517,YNY056,,Y Y BRAND SEA GREENS SEAWEED CLASSIC 15G,1,CASE,$44.00,24,NO,W26,
8170519,YNY059,,Y Y BRAND SEA GREENS SEAWEED BBQ 15G,1,CASE,$44.00,24,NO,W26,
18864471,LKK111,,LKK PREMIUM OYSTER SAUCE 510G,1,CASE,$96.00,12,NO,W26,
17605284,WAN001,,WANT RICE CRACKER 92G,1,CASE,$51.00,20,NO,W26,
20267909,ASI003,,ASSI STRAWBERRY FLAVOUR DRINK 315ML,1,CASE,$21.21,20,NO,W26,
8170526,ABC001,,ABC SWEET SOY SAUCE 620ML,1,CASE,$85.68,12,NO,W26,
19036588,YNY073,,YY SUSHI NORI 28G,1,CASE,$22.33,10,YES,W24,
20010969,WPC001,,WEL-PAC EDAMAME BEANS 454G,1,CASE,$72.50,20,NO,W24,
18069704,KIK006,,KIKKOMAN MISO SOUP MIX SPINACH 30G,1,CASE,$87.00,24,NO,W24,
8170540,KIK002,,KIKKOMAN MISO SOUP MIX WITH TOFU 30G,1,CASE,$87.00,24,NO,W24,
18737379,CHY002,,CHEWY JAPANESE UDON NOODLES 800G,2,CASE,$37.29,9,NO,W24,
8170496,ORY001,,OH RICEY DRIED RICE NOODLE 500G,1,CASE,$68.00,18,NO,W24,
18768077,ORY002,,OH RICEY PHO BEEF BOWL 65G,2,CASE,$17.00,12,NO,W24,
18768073,ORY006,,OH RICEY PHO CHICKEN BOWL 65G,2,CASE,$17.00,12,NO,W24,
20011023,HYF007,,HUY FONG KETCHUP 490ML,2,CASE,$27.00,6,NO,W24,
8181044,OTH015,,KEWPIE MAYONNAISE 517ML,1,CASE,$157.00,20,NO,W24,
8170509,LKK004,,LKK VEG MUSH STIR FRY SAUCE 567G,1,CASE,$48.16,12,NO,W24,
12222880,LKK011,,LKK VEG STIR FRY SAUCE 421ML,1,CASE,$52.00,12,NO,W24,
8173385,MAP003,,MAEPLOY SWEET CHILLI SAUCE 730ML,1,CASE,$37.00,12,NO,W24,
8370478,PRB005,,PRB LIGHT SOY SAUCE 500ML,1,CASE,$35.00,12,NO,W24,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W24,
8170502,SNB001,,S B WASABI IN TUBE 43G,1,CASE,$23.00,10,YES,W24,
18737379,CHY002,,CHEWY JAPANESE UDON NOODLES 800G,1,CASE,$37.29,9,NO,W22,
16980146,LKM003,,LUCKY ME INS PANCIT CANTON HOT CHILI 60G,1,CASE,$42.00,12,NO,W22,
18127362,LKM015,,LUCKY ME PANCIT CANTON KALAMANSI 360G,1,CASE,$43.20,12,NO,W22,
8170496,ORY001,,OH RICEY DRIED RICE NOODLE 500G,1,CASE,$68.00,18,NO,W22,
19781715,SAY017,,SAMYANG CHEESE BOWL 105G,2,CASE,$43.00,16,NO,W22,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,4,CASE,$70.00,8,NO,W22,
#N/A,SAY016,,BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$61.50,8,NO,W22,
8170514,LZU002,,WATSON SLICED NOODLE 440G,1,CASE,$50.00,18,NO,W22,
8170545,LKK094,,LKK CHAR SIU SAUCE 320ML,1,CASE,$75.71,12,NO,W22,
19781889,LKK117,,LKK BROWN BRAISING SAUCE 410ML,1,CASE,$39.00,12,NO,W22,
19782059,LKK067,,LKK GUILIN CHILI SAUCE 226G,1,CASE,$46.37,12,NO,W22,
19782066,LKK001,,LKK PANDA OYSTER SAUCE 510G,1,CASE,$46.00,12,NO,W22,
8872125,LKK065,,LKK CHILI GARLIC SAUCE 226G,1,CASE,$40.00,12,NO,W22,
8173333,MAP001,,MAEPLOY COCONUT MILK CREAM 560ML,1,CASE,$85.00,24,NO,W22,
8170320,MAP004,,MAEPLOY CURRY PASTE GREEN 1KG,1,CASE,$92.00,12,NO,W22,
8170520,YNY058,,Y Y BRAND SEA GREENS SEAWEED SPICY 15G,1,CASE,$44.00,24,NO,W22,
8170514,LZU002,,WATSON SLICED NOODLE 440G,1,CASE,$50.00,18,NO,W20,
18256061,LZU001,,WATSON LANZHOU NOODLE 440G,1,CASE,$50.00,18,NO,W20,
8181044,OTH015,,KEWPIE MAYONNAISE 517ML,1,CASE,$157.00,20,NO,W20,
19550668,LKK057,,LKK SEASONED RICE VINEGAR 500ML,1,CASE,$33.00,12,NO,W20,
14811898,LKK090,,LKK PURE SESAME OIL 445ML,1,CASE,$97.14,12,NO,W20,
14722656,LKK029,,LKK SRIRACHA MAYO 445ML,1,CASE,$67.97,12,NO,W20,
16506758,MRN001,,MARUKAN GOURMET RICE VINEGAR 355ML,1,CASE,$43.00,12,NO,W20,
17307541,MRN002,,MARUKAN BREWED RICE VINEGAR 355ML,1,CASE,$42.00,12,NO,W20,
8170499,PGD001,,PAGODA SHAOXIN SALTED COOKING WINE 640ML,1,CASE,$38.00,12,NO,W20,
17468117,GLI014,,GLICO POCKY CRUNCHY STRAWBERRY 51G,2,CASE,$27.00,10,YES,W20,
10366453,GLI010,,GLICO POCKY CHOCOLATE 70G,2,CASE,$23.33,10,YES,W20,
15757552,GLI003,,GLICO POCKY CHOCOLATE SMALL 40G,2,CASE,$12.10,10,YES,W20,
18966469,GLI002,,GLICO POCKY CHOCOLATE BAG 156G,2,CASE,$20.00,5,YES,W20,
11639299,GLI005,,GLICO POCKY STRAWBERRY 33G,2,CASE,$12.00,10,YES,W20,
12765082,HTI001,,HAITAI HONEY BUTTER CHIPS 60G,1,CASE,$48.80,16,NO,W20,
19550734,NTC005,,NATURES CHARM COCONUT CUSTARD 400G,1,CASE,$85.00,24,NO,W20,
14902444,PAL002,,PALDO HWA RAMYUN HOT AND SPICY 600G,1,CASE,$30.00,4,NO,W20,
15016468,MMA003,,MAMA INST NOODLES CHICKEN FLAVOUR 55G,2,CASE,$16.80,24,NO,W20,
8169041,MMA001,,MAMA INST NOODLES PORK FLAVOUR 60G,2,CASE,$16.80,24,NO,W20,
18601471,VTS022,,VITASOY BLACK 6PACK,2,CASE,$36.00,8,NO,W18,
8170512,VTS025,,VITASOY MELON FLV SOYA DRINK 6PACK,2,CASE,$36.00,8,NO,W18,
12222935,VTS002,,VITASOY ORIGINAL 6PACK,2,CASE,$36.00,8,NO,W18,
15002674,VTS024,,VITASOY CHOCOLATE FLV SOY DRINK 6PACK,2,CASE,$36.00,8,NO,W18,
